iter	Passed	Remaining
406	6479	9440
407	6493	9421
408	6506	9402
409	6522	9385
410	6539	9371
411	6555	9356
412	6577	9347
413	6597	9338
414	6617	9327
415	6639	9321
416	6662	9314
417	6681	9303
418	6697	9286
419	6718	9277
420	6739	9269
421	6757	9254
422	6771	9236
423	6785	9217
424	6797	9196
425	6811	9177
426	6824	9157
427	6837	9137
428	6851	9119
429	6863	9098
430	6876	9077
431	6888	9057
432	6901	9036
433	6912	9015
434	6924	8994
435	6937	8973
436	6951	8955
437	6964	8935
438	6977	8916
439	6990	8896
440	7003	8877
441	7017	8859
442	7034	8844
443	7051	8830
444	7069	8817
445	7086	8803
446	7103	8787
447	7124	8778
448	7141	8763
449	7157	8748
450	7173	8732
451	7187	8713
452	7200	8694
453	7213	8675
454	7225	8655
455	7238	8635
456	7253	8618
457	7269	8602
458	7284	8586
459	7303	8573
460	7320	8558
461	7334	8540
462	7347	8521
463	7361	8503
464	7374	8484
465	7386	8464
466	7399	8445
467	7412	8426
468	7426	8407
469	7438	8388
470	7452	8370
471	7466	8352
472	7479	8333
473	7492	8314
474	7506	8296
475	7518	8276
476	7533	8259
477	7548	8243
478	7562	8225
479	7576	8207
480	7590	8190
481	7604	8171
482	7617	8153
483	7632	8137
484	7648	8121
485	7662	8104
486	7678	8088
487	7691	8070
488	7705	8052
489	7718	8034
490	7731	8015
491	7745	7997
492	7758	7978
493	7772	7961
494	7783	7941
495	7796	7921
496	7808	7903
497	7822	7885
498	7836	7867
499	7847	7847
500	7860	7828
501	7872	7810
502	7885	7791
503	7897	7772
504	7910	7753
505	7925	7737
506	7943	7724
507	7957	7706
508	7975	7693
509	7994	7680
510	8018	7673
511	8044	7667
512	8076	7667
513	8101	7660
514	8121	7648
515	8139	7635
516	8162	7625
517	8183	7614
518	8202	7602
519	8223	7590
520	8243	7579
521	8265	7568
522	8286	7557
523	8306	7546
524	8336	7542
525	8368	7541
526	8391	7531
527	8409	7517
528	8432	7507
529	8457	7500
530	8481	7491
531	8504	7481
532	8526	7470
533	8539	7451
534	8553	7434
535	8567	7416
536	8581	7399
537	8596	7382
538	8610	7364
539	8625	7347
540	8638	7328
541	8652	7311
542	8668	7295
543	8683	7278
544	8697	7261
545	8712	7244
546	8726	7227
547	8742	7210
548	8757	7194
549	8772	7177
550	8786	7159
551	8800	7142
552	8812	7123
553	8826	7105
554	8839	7087
555	8851	7068
556	8866	7051
557	8882	7036
558	8901	7022
559	8928	7015
560	8950	7004
561	8979	6998
562	9011	6994
563	9032	6982
564	9063	6977
565	9082	6964
566	9107	6954
567	9144	6955
568	9195	6965
569	9220	6955
570	9274	6968
571	9310	6966
572	9349	6967
573	9397	6974
574	9441	6978
575	9487	6984
576	9621	7053
577	9707	7087
578	9741	7083
579	9770	7075
580	9806	7072
581	9825	7056
582	9842	7040
583	9870	7031
584	9899	7022
585	9921	7009
586	9939	6993
587	9957	6976
588	9974	6960
589	9995	6946
590	10024	6937
591	10066	6938
592	10107	6937
593	10138	6929
594	10153	6911
595	10169	6893
596	10187	6877
597	10201	6857
598	10215	6838
599	10228	6819
600	10240	6798
601	10252	6778
602	10266	6758
603	10279	6739
604	10292	6720
605	10305	6700
606	10319	6681
607	10332	6661
608	10348	6644
609	10361	6624
610	10374	6605
611	10386	6584
612	10399	6565
613	10411	6545
614	10425	6526
615	10436	6505
616	10448	6486
617	10463	6467
618	10480	6450
619	10500	6435
620	10515	6417
621	10529	6398
622	10544	6380
623	10561	6363
624	10575	6345
625	10588	6326
626	10600	6306
627	10613	6287
628	10626	6267
629	10640	6248
630	10652	6229
631	10665	6210
632	10679	6191
633	10693	6172
634	10707	6154
635	10721	6136
636	10734	6116
637	10747	6098
638	10761	6079
639	10775	6061
640	10789	6042
641	10803	6024
642	10817	6005
643	10829	5986
644	10843	5968
645	10856	5949
646	10869	5930
647	10881	5910
648	10893	5891
649	10910	5874
650	10924	5856
651	10937	5838
652	10951	5819
653	10964	5800
654	10976	5781
655	10990	5763
656	11003	5744
657	11017	5726
658	11031	5708
659	11042	5688
660	11056	5670
661	11069	5651
662	11081	5632
663	11093	5613
664	11105	5594
665	11118	5576
666	11133	5558
667	11146	5540
668	11159	5521
669	11171	5502
670	11184	5483
671	11196	5464
672	11207	5445
673	11219	5426
674	11231	5407
675	11242	5388
676	11254	5369
677	11266	5350
678	11279	5332
679	11291	5313
680	11302	5294
681	11314	5275
682	11328	5257
683	11339	5238
684	11351	5219
685	11363	5201
686	11375	5182
687	11387	5163
688	11398	5145
689	11410	5126
690	11422	5108
691	11434	5089
692	11448	5071
693	11462	5054
694	11476	5036
695	11488	5017
696	11501	4999
697	11514	4981
698	11527	4963
699	11541	4946
700	11555	4928
701	11569	4911
702	11582	4893
703	11597	4876
704	11610	4858
705	11624	4840
706	11637	4822
707	11649	4804
708	11662	4786
709	11675	4768
710	11688	4750
711	11701	4733
712	11715	4715
713	11728	4698
714	11740	4679
715	11753	4661
716	11766	4644
717	11780	4626
718	11795	4609
719	11810	4593
720	11828	4577
721	11846	4561
722	11864	4545
723	11879	4528
724	11895	4511
725	11910	4495
726	11928	4479
727	11943	4462
728	11956	4444
729	11972	4428
730	11988	4411
731	12002	4394
732	12015	4376
733	12027	4358
734	12039	4340
735	12052	4323
736	12065	4305
737	12078	4287
738	12089	4269
739	12102	4252
740	12114	4234
741	12130	4217
742	12144	4200
743	12156	4182
744	12168	4165
745	12181	4147
746	12194	4129
747	12205	4112
748	12218	4094
749	12230	4076
750	12243	4059
751	12256	4041
752	12272	4025
753	12287	4008
754	12306	3993
755	12322	3977
756	12342	3961
757	12362	3946
758	12382	3931
759	12400	3916
760	12416	3899
761	12432	3883
762	12447	3866
763	12461	3849
764	12474	3831
765	12486	3814
766	12498	3796
767	12511	3779
768	12527	3763
769	12542	3746
770	12556	3729
771	12568	3711
772	12581	3694
773	12594	3677
774	12607	3660
775	12619	3642
776	12631	3625
777	12643	3607
778	12656	3590
779	12670	3573
780	12682	3556
781	12696	3539
782	12710	3522
783	12727	3506
784	12744	3490
785	12765	3475
786	12788	3461
787	12807	3445
788	12823	3429
789	12843	3414
790	12859	3397
791	12877	3382
792	12897	3366
793	12912	3350
794	12936	3335
795	12950	3318
796	12962	3301
797	12974	3284
798	12986	3267
799	12999	3249
800	13013	3233
801	13030	3216
802	13043	3199
803	13058	3183
804	13074	3167
805	13087	3150
806	13100	3133
807	13113	3115
808	13127	3099
809	13141	3082
810	13154	3065
811	13167	3048
812	13180	3031
813	13193	3014
814	13205	2997
815	13219	2980
816	13232	2963
817	13245	2947
818	13258	2930
819	13269	2912
820	13283	2896
821	13296	2879
822	13309	2862
823	13324	2845
824	13336	2829
825	13351	2812
826	13364	2795
827	13379	2779
828	13392	2762
829	13404	2745
830	13417	2728
831	13430	2711
832	13443	2695
